Title,Rating,Year,Month,Runtime,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting
Elvis,7.4,2022,6,159,85000000.0,286040048.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1001
The Gray Man,6.5,2022,7,122,200000000.0,454023.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,254,1001
RRR,7.9,2022,3,187,42000000.0,102973162.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Decision to Leave,7.3,2022,6,139,10000000.0,21661216.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1001,1001
Fall,6.4,2022,8,107,3000000.0,17377065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1001,1001
Uncharted,6.3,2022,2,116,120000000.0,401748820.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Death on the Nile,6.3,2022,2,127,90000000.0,137307235.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1001,1001
Corsage,6.7,2022,12,113,7950000.0,1259206.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Jurassic World: Dominion,5.7,2022,6,147,165000000.0,1001136080.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374,1001
Memory,5.7,2022,4,114,30000000.0,13897255.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,223,1001
Dune,8.0,2021,10,155,165000000.0,401847900.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001
Spider-Man: No Way Home,8.3,2021,12,148,200000000.0,1917430023.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The Little Things,6.3,2021,1,128,30000000.0,30863426.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1001
No Time to Die,7.3,2021,10,163,250000000.0,774153007.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,421,1001
The Suicide Squad,7.2,2021,8,132,185000000.0,168657565.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,697,1001
Don't Look Up,7.2,2021,12,138,75000000.0,791863.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1001
The Black Phone,6.9,2021,6,103,18000000.0,161204742.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1001,1001
Licorice Pizza,7.2,2021,12,133,40000000.0,33267952.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1001,1001
The King's Man,6.3,2021,12,131,100000000.0,125897478.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,522,1001
Sing 2,7.4,2021,12,110,85000000.0,407514912.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,1001
Mortal Kombat,6.1,2021,4,110,55000000.0,84416731.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Last Night in Soho,7.1,2021,10,116,43000000.0,22957625.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
Nobody,7.4,2021,3,92,16000000.0,57510518.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Nightmare Alley,7.0,2021,12,150,60000000.0,39629195.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,219,1001
Eternals,6.3,2021,11,156,200000000.0,402064899.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The Worst Person in the World,7.8,2021,10,128,5300000.0,12678166.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1001,1001
Free Guy,7.1,2021,8,115,120000000.0,331526598.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,1001
Pleasure,6.4,2021,10,109,1786000.0,393824.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
House of Gucci,6.6,2021,11,158,75000000.0,153265068.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001
Encanto,7.2,2021,11,102,50000000.0,256786742.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The Matrix Resurrections,5.7,2021,12,148,190000000.0,157297525.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,415,1001
Ghostbusters: Afterlife,7.1,2021,11,124,75000000.0,204334455.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Wrath of Man,7.1,2021,5,119,40000000.0,103966489.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,467,1001
Black Widow,6.7,2021,7,134,200000000.0,379751655.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,283,1001
F9: The Fast Saga,5.2,2021,6,143,200000000.0,726229501.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,423,1001
CODA,8.0,2021,8,111,10000000.0,1886365.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1001,1001
The Last Duel,7.4,2021,10,152,100000000.0,30552111.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,224,1001
Shang-Chi and the Legend of the Ten Rings,7.4,2021,9,132,200000000.0,432243292.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
West Side Story,7.2,2021,12,156,100000000.0,76016171.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1001,1001
Old,5.8,2021,7,108,18000000.0,90146510.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
Red Notice,6.3,2021,11,118,160000000.0,178143.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,418,1001
The Many Saints of Newark,6.3,2021,10,120,50000000.0,13058293.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Belfast,7.3,2021,11,98,25000000.0,48845160.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Malignant,6.2,2021,9,111,40000000.0,34892041.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
The Tomorrow War,6.5,2021,7,138,200000000.0,14400000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1001
Godzilla vs. Kong,6.3,2021,3,113,200000000.0,470067014.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1001,1001
Cruella,7.3,2021,5,134,100000000.0,233503234.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,1001
Benedetta,6.8,2021,12,131,24350000.0,4250592.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Resident Evil: Welcome to Raccoon City,5.2,2021,11,107,25000000.0,41914915.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1001,1001
Boiling Point,7.5,2021,1,92,820000.0,1426916.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1001,1001
Venom: Let There Be Carnage,5.9,2021,10,97,110000000.0,506863592.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,269,1001
Red Rocket,7.2,2021,12,130,1100000.0,2312554.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
King Richard,7.5,2021,11,144,50000000.0,39359895.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64,1001
"tick, tick... BOOM!",7.5,2021,11,120,55000000.0,112777.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,1001
Jungle Cruise,6.6,2021,7,127,200000000.0,220889446.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1001
Spencer,6.6,2021,11,117,18000000.0,24901028.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1001
Candyman,5.9,2021,8,91,22000000.0,77411570.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1001,1001
Titane,6.6,2021,10,108,6042000.0,4982335.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1001,1001
Gunpowder Milkshake,6.0,2021,7,114,30000000.0,1015760.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1001,1001
The Conjuring: The Devil Made Me Do It,6.3,2021,6,112,39000000.0,206401480.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,708,1001
Tenet,7.3,2020,9,150,205000000.0,365294355.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1001,1001
Emma.,6.7,2020,3,124,10000000.0,26404660.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1001,1001
The French Dispatch,7.1,2020,10,107,25000000.0,46333545.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,1001
Wonder Woman 1984,5.4,2020,12,151,200000000.0,169602006.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,743,1001
The Father,8.2,2020,2,97,6000000.0,24598259.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,1001
The Croods: A New Age,6.9,2020,11,95,65000000.0,215905815.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1001
The Forgotten Battle,7.1,2020,10,124,14840000.0,6000546.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1001,1001
The Hunt,6.5,2020,3,90,14000000.0,10550350.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1001,1001
Sonic the Hedgehog,6.5,2020,2,99,85000000.0,319715683.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Underwater,5.8,2020,1,95,80000000.0,40882928.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,295,1001
Birds of Prey,6.0,2020,2,109,84500000.0,205322941.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,1001
Boss Level,6.8,2020,3,100,45000000.0,1753823.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Mulan,5.7,2020,9,115,200000000.0,69965374.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The New Mutants,5.3,2020,8,94,67000000.0,49169594.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
Freaky,6.3,2020,11,102,5000000.0,18073433.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,855,1001
The Invisible Man,7.1,2020,2,124,7000000.0,144492724.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,493,1001
Nomadland,7.3,2020,2,107,5000000.0,39458207.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1001
The King of Staten Island,7.1,2020,6,136,35000000.0,2180452.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
2 Hearts,6.3,2020,10,101,15000000.0,1349286.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1001,1001
Bloodshot,5.7,2020,3,109,45000000.0,39861118.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,423,1001
Greenland,6.4,2020,12,119,34000000.0,52300000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,506,1001
Monster Hunter,5.2,2020,12,103,60000000.0,42145959.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,329,1001
Fantasy Island,4.9,2020,2,109,7000000.0,49447308.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
The Call of the Wild,6.7,2020,2,100,135000000.0,111202881.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1001
Unhinged,6.0,2020,8,90,33000000.0,44331465.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,116,1001
The Rental,5.7,2020,7,88,3500000.0,4311042.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
Bad Boys for Life,6.5,2020,1,124,90000000.0,426505244.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1001
Riders of Justice,7.5,2020,5,116,5300000.0,2000541.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1001
The Wolf of Snow Hollow,6.2,2020,10,85,2000000.0,266963.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1001,1001
I Care a Lot,6.3,2020,2,118,14000000.0,1351662.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,1001
Onward,7.4,2020,3,102,175000000.0,141940042.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Minari,7.4,2020,2,115,2000000.0,15312445.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Knives Out,7.9,2019,11,130,40000000.0,312897920.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1001
Last Christmas,6.5,2019,11,103,25000000.0,123446172.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Once Upon a Time in Hollywood,7.6,2019,7,161,90000000.0,377617598.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1001
Midsommar,7.1,2019,7,148,9000000.0,47969371.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,900,1001
Avengers: Endgame,8.4,2019,4,181,356000000.0,2797501328.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Joker,8.4,2019,10,122,55000000.0,1074458282.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,1001
The Gentlemen,7.8,2019,1,113,22000000.0,115171795.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,623,1001
Parasite,8.5,2019,11,132,11400000.0,262676096.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1001,1001
The Addams Family,5.8,2019,10,86,24000000.0,204394183.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,601,1001
Little Women,7.8,2019,12,135,40000000.0,218843645.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,535,1001
Alita: Battle Angel,7.3,2019,2,122,170000000.0,404980543.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1001,1001
1917,8.2,2019,1,119,95000000.0,384576334.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1001,1001
The Irishman,7.8,2019,11,209,159000000.0,968853.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1001
Star Wars: The Rise Of Skywalker,6.5,2019,12,141,275000000.0,1074149279.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
After,5.3,2019,4,105,14000000.0,69497587.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1001,1001
Terminator: Dark Fate,6.2,2019,11,128,185000000.0,261119292.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,730,1001
Ford v Ferrari,8.1,2019,11,152,97600000.0,225508210.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,224,1001
Shazam!,7.0,2019,4,132,100000000.0,366080049.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Five Feet Apart,7.2,2019,3,116,7000000.0,92559910.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1001,1001
Uncut Gems,7.4,2019,12,135,19000000.0,50023780.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,419,1001
Pinocchio,6.2,2019,12,125,15635000.0,23841090.0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Jojo Rabbit,7.9,2019,11,108,14000000.0,90335025.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1001,1001
The Lighthouse,7.4,2019,11,109,11000000.0,18129854.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,501,1001
Us,6.8,2019,3,116,20000000.0,256067149.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1001,1001
John Wick: Chapter 3 - Parabellum,7.4,2019,5,130,75000000.0,328349387.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,415,1001
Cats,2.8,2019,12,110,95000000.0,75558925.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Doctor Sleep,7.3,2019,11,152,45000000.0,72381712.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,713,1001
Hustlers,6.3,2019,9,110,20000000.0,157563598.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Frozen II,6.8,2019,11,103,150000000.0,1450026933.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,1001
Ad Astra,6.5,2019,9,123,90000000.0,127461872.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120,1001
Aladdin,6.9,2019,5,128,183000000.0,1050693953.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1001
Ready or Not,6.8,2019,8,95,6000000.0,57615777.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1001,1001
Captain Marvel,6.8,2019,3,123,160000000.0,1128462972.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,580,1001
Glass,6.6,2019,1,129,20000000.0,246999039.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,994,1001
Spider-Man: Far from Home,7.4,2019,7,129,160000000.0,1131927996.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1001,1001
A Beautiful Day in the Neighborhood,7.2,2019,11,109,25000000.0,67925733.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
The Lion King,6.8,2019,7,118,260000000.0,1663250487.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001
Jumanji: The Next Level,6.7,2019,12,123,125000000.0,801693929.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1001
Marriage Story,7.9,2019,12,137,18600000.0,333686.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,996,1001
Black Christmas,3.5,2019,12,92,5000000.0,18529730.0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1001,1001
It Chapter Two,6.5,2019,9,169,79000000.0,473122525.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,335,1001
Bombshell,6.8,2019,12,109,32000000.0,61404394.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,1001
Escape Room,6.4,2019,1,99,9000000.0,155712077.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1001,1001
Anna,6.6,2019,6,118,32531400.0,31626978.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1001,1001
